Outbreak	Coronahit_rapid
dataType	resequencing_consistency_check
source	Nabil-Fareed_Alikhan
pmid	doi://10.1101/2020.06.24.162156
Organism	SARS-CoV-2
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-rapid.dnd

SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969440	ERS5446165	Coronahit_rapid	-	LR963332	NORW-EFE85 	-	2f7f2308b892e6f73844371d88a510ee75d599e726ac5c2d0594ecf0992f5670	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7d3e9779fbc6da97c65b96b7e7699b17e5940bc2edeca15dabe54daf4e4165e8	NORW-EFE85_ARTIC_LoCost	FALSE	
ERR4969995	ERS5446165	Coronahit_rapid	-	LR963332	NORW-EFE85 	-	cebb090e116e542991f2b29263a9140a9a0e3690c8350bc50e03e52f313f4411	f4f2c717ede565195d5a5810884eb897e046ad3d458629f7e615ec3d2d10c7a4	7d3e9779fbc6da97c65b96b7e7699b17e5940bc2edeca15dabe54daf4e4165e8	NORW-EFE85_CoronaHiT-Illumina	FALSE	
ERR4969326	ERS5446165	Coronahit_rapid	-	LR963332	NORW-EFE85 	-	096b27cb9e016904c719c87766a89194127da521c9f31e050fce7563012fd981	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7d3e9779fbc6da97c65b96b7e7699b17e5940bc2edeca15dabe54daf4e4165e8	NORW-EFE85_CoronaHiT-ONT	FALSE	
ERR4969385	ERS5446176	Coronahit_rapid	-	LR963328	NORW-EFEA3 	-	b1d71f59fc776f20e30256e73b8e37cbfa2e00c2bb7fcd69ec499ce890ddaa2a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	219a5c5d4a42a388ebe6b083f023b8690433caab1d869d051d830a38f2932351	NORW-EFEA3_ARTIC_LoCost	FALSE	
ERR4970007	ERS5446176	Coronahit_rapid	-	LR963328	NORW-EFEA3 	-	deff730ff34b79dd846cdd8369e7f87634a2ecef8464309437ec8cae4c8ba45a	2a86de7a1dfba1e096c2a4192940eb214eeb2d17e6556760501fd3ab1d0eb642	219a5c5d4a42a388ebe6b083f023b8690433caab1d869d051d830a38f2932351	NORW-EFEA3_CoronaHiT-Illumina	FALSE	
ERR4969334	ERS5446176	Coronahit_rapid	-	LR963328	NORW-EFEA3 	-	673bf8110c716e4cd2421a65889d100ed8c024e3fe5eaab2581ba6cd336f4e45	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	219a5c5d4a42a388ebe6b083f023b8690433caab1d869d051d830a38f2932351	NORW-EFEA3_CoronaHiT-ONT	FALSE	
ERR4969386	ERS5446150	Coronahit_rapid	-	LR963348	NORW-EFEB2 	-	4c89afbfaea8398ac400faa3836e71ec38f94bee4700e26da7bdccc3387630cc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4e605d06b45c3300d55144c4c6582457f078ffcae8bffafbc437b0e1ba24dddc	NORW-EFEB2_ARTIC_LoCost	FALSE	
ERR4970002	ERS5446150	Coronahit_rapid	-	LR963348	NORW-EFEB2 	-	a57053a663fe85cacf266d00c33224d59b9b1657056ce9e2f6a9a96c92ea85d2	54af9ae697ab7027c6becf26c1bfaf5c8d88ae946dba162c4f70b8bacc812ea7	4e605d06b45c3300d55144c4c6582457f078ffcae8bffafbc437b0e1ba24dddc	NORW-EFEB2_CoronaHiT-Illumina	FALSE	
ERR4969351	ERS5446150	Coronahit_rapid	-	LR963348	NORW-EFEB2 	-	8b053cf13cfe2859c84007dacb6dc072e526abf11ae11817edf22a1f9b1726ef	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4e605d06b45c3300d55144c4c6582457f078ffcae8bffafbc437b0e1ba24dddc	NORW-EFEB2_CoronaHiT-ONT	FALSE	
ERR4969401	ERS5446163	Coronahit_rapid	-	LR963323	NORW-EFFBF 	-	c030c3ba380a18e1071f2820ec50fe9ec4db0ff5eb6bbbe3de5923f8acae4ab5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0d49d25846b444c41073d7b0532debbf01a63271a81c5ef98191b10ad9c6a38f	NORW-EFFBF_ARTIC_LoCost	FALSE	
ERR4970046	ERS5446163	Coronahit_rapid	-	LR963323	NORW-EFFBF 	-	91ea4c692944edc48274f2a4349593588ea3cb6c9054aa1a13d98847d10a68ea	a7ea74bfe4d30d1397b2b8d963b729c7441a7faf48f53b609905d567d16506dd	0d49d25846b444c41073d7b0532debbf01a63271a81c5ef98191b10ad9c6a38f	NORW-EFFBF_CoronaHiT-Illumina	FALSE	
